ID,bgnDt,endDt,Duration,Volume,Peak,AvQ,POT
391,4/25/1960,6/5/1960,42,4023.3,1220,95.79285714,12.73581388
393,6/7/1960,6/18/1960,12,35.1,12,2.925,4.102564103
395,6/21/1960,7/13/1960,23,39313.3,10300,1709.273913,6.025950505
397,7/15/1960,8/7/1960,24,13733,2340,572.2083333,4.089419646
399,8/11/1960,10/3/1960,54,6231.1,1140,115.3907407,9.879475534
401,10/5/1960,10/12/1960,8,195.6,48,24.45,1.963190184
403,10/14/1960,11/11/1960,29,16197,2780,558.5172414,4.977464963
405,11/13/1960,12/3/1960,21,12499,1920,595.1904762,3.225858069
407,12/5/1960,12/25/1960,21,11548,1880,549.9047619,3.418773814
409,12/27/1960,2/3/1961,39,18362,1570,470.8205128,3.334604074
411,2/5/1961,4/3/1961,58,25029,3510,431.5344828,8.133764833
413,4/6/1961,5/14/1961,39,1427.5,297,36.6025641,8.114185639
415,5/16/1961,5/22/1961,7,11.5,1.8,1.642857143,1.095652174
417,5/24/1961,6/6/1961,14,87.8,20,6.271428571,3.189066059
419,6/8/1961,7/7/1961,30,15713.7,4340,523.79,8.285763378
421,7/9/1961,7/31/1961,23,9787,3060,425.5217391,7.191171963
423,8/2/1961,8/25/1961,24,609,45,25.375,1.773399015
425,8/27/1961,9/9/1961,14,496,98,35.42857143,2.766129032
427,9/11/1961,10/21/1961,41,25853.6,6260,630.5756098,9.927437572
429,10/24/1961,10/31/1961,8,17.7,2.3,2.2125,1.039548023
431,11/2/1961,12/7/1961,36,1568.1,402,43.55833333,9.229003252
433,12/11/1961,12/14/1961,4,30.8,8.8,7.7,1.142857143
435,12/17/1961,12/30/1961,14,422.7,137,30.19285714,4.537497043
437,1/3/1962,2/10/1962,39,277.3,27,7.11025641,3.79733141
439,2/14/1962,3/11/1962,26,547.5,146,21.05769231,6.933333333
441,3/13/1962,4/2/1962,21,83.1,12,3.957142857,3.032490975
443,4/4/1962,4/16/1962,13,29.5,5.2,2.269230769,2.291525424
445,4/18/1962,4/20/1962,3,5.5,2.7,1.833333333,1.472727273
447,4/22/1962,5/18/1962,27,701.7,223,25.98888889,8.580589996
449,5/20/1962,6/24/1962,36,661.4,155,18.37222222,8.436649531
451,6/26/1962,7/28/1962,33,1057.4,211,32.04242424,6.58501986
453,7/30/1962,8/8/1962,10,31.1,5.2,3.11,1.672025723
455,8/10/1962,10/11/1962,63,792.8,97,12.58412698,7.708123108
457,10/13/1962,11/14/1962,33,88.2,8,2.672727273,2.993197279
459,11/16/1962,12/19/1962,34,3871.2,1360,113.8588235,11.94461666
461,12/23/1962,1/15/1963,24,2448.6,311,102.025,3.048272482
463,1/17/1963,2/16/1963,31,1649.3,600,53.20322581,11.27751167
465,2/18/1963,3/31/1963,42,3510.9,1000,83.59285714,11.9627446
467,4/3/1963,4/22/1963,20,40.1,5.8,2.005,2.89276808
469,4/27/1963,5/12/1963,16,18.4,4.1,1.15,3.565217391
471,5/14/1963,6/12/1963,30,399.9,144,13.33,10.80270068
473,6/16/1963,7/25/1963,40,1307.4,215,32.685,6.577940952
475,7/27/1963,8/19/1963,24,244.7,22,10.19583333,2.157744177
477,8/22/1963,8/29/1963,8,63.9,18,7.9875,2.253521127
479,8/31/1963,9/22/1963,23,149.6,16,6.504347826,2.459893048
481,9/24/1963,10/15/1963,22,125.4,18,5.7,3.157894737
483,10/17/1963,11/3/1963,18,118.9,38,6.605555556,5.752733389
485,11/6/1963,12/8/1963,33,227.1,14,6.881818182,2.034346103
487,12/10/1963,12/10/1963,1,1.4,1.4,1.4,1
489,12/12/1963,1/13/1964,33,659.8,124,19.99393939,6.201879357
491,1/16/1964,1/28/1964,13,225.1,54,17.31538462,3.118613949
493,1/30/1964,2/19/1964,21,978.9,180,46.61428571,3.861477168
495,2/21/1964,3/17/1964,26,7732.6,2770,297.4076923,9.313814241
497,3/19/1964,4/8/1964,21,565.5,224,26.92857143,8.318302387
499,4/10/1964,4/24/1964,15,1789.4,1130,119.2933333,9.472448866
501,4/26/1964,5/17/1964,22,774.4,192,35.2,5.454545455
503,5/19/1964,6/9/1964,22,3624.7,2350,164.7590909,14.26324937
505,6/11/1964,6/11/1964,1,4.5,4.5,4.5,1
507,6/13/1964,7/7/1964,25,1313.4,462,52.536,8.793969849
509,7/10/1964,8/17/1964,39,425,18,10.8974359,1.651764706
511,8/19/1964,8/19/1964,1,3,3,3,1
513,8/21/1964,9/4/1964,15,94.1,15,6.273333333,2.391073326
515,9/6/1964,10/16/1964,41,790.9,58,19.2902439,3.006701226
517,10/18/1964,10/24/1964,7,11.5,4.7,1.642857143,2.860869565
519,10/26/1964,12/7/1964,43,1174.3,171,27.30930233,6.261602657
521,12/9/1964,12/25/1964,17,679.4,144,39.96470588,3.603179276
523,12/27/1964,1/20/1965,25,316.7,52,12.668,4.10483107
525,1/22/1965,2/7/1965,17,879.4,306,51.72941176,5.915396861
527,2/9/1965,4/13/1965,64,4900.4,1400,76.56875,18.2842217
529,4/16/1965,4/16/1965,1,0.2,0.2,0.2,1
531,4/20/1965,5/8/1965,19,101.8,30,5.357894737,5.599214145
